provincia,sum(poblacion),"sum(""Cantidad de EE"")",sum(EmpresasExportadoras_EmpleanMujeres)
Jujuy,5298.0,24.0,1.0
Catamarca,5087.0,35.0,0.0
Neuquén,5087.0,14.0,0.0
Córdoba,5070.0,43.0,0.0
Santiago del Estero,5034.0,27.0,2.0
La Rioja,5017.0,50.0,0.0
Córdoba,4855.0,45.0,2.0
Buenos Aires,4846.0,28.0,4.0
Neuquén,4832.0,13.0,4.0
Catamarca,4696.0,35.0,1.0
San Luis,4691.0,58.0,0.0
Buenos Aires,4615.0,32.0,0.0
Córdoba,4381.0,25.0,2.0
Catamarca,4375.0,57.0,2.0
La Rioja,4306.0,21.0,2.0
Río Negro,4300.0,24.0,0.0
Chaco,4051.0,23.0,1.0
La Rioja,4013.0,42.0,0.0
Jujuy,3966.0,19.0,11.0
Río Negro,3682.0,27.0,1.0
Salta,3491.0,15.0,0.0
Catamarca,3282.0,44.0,0.0
La Rioja,3184.0,29.0,0.0
Buenos Aires,3157.0,22.0,1.0
La Rioja,2994.0,3.0,0.0
La Pampa,2868.0,8.0,0.0
Chubut,2862.0,12.0,0.0
Corrientes,2808.0,10.0,6.0
La Rioja,2695.0,12.0,0.0
Jujuy,2641.0,25.0,0.0
Neuquén,2641.0,17.0,0.0
La Pampa,2611.0,8.0,5.0
Buenos Aires,2528.0,13.0,0.0
Jujuy,2490.0,14.0,2.0
La Rioja,2399.0,15.0,0.0
La Rioja,1885.0,9.0,0.0
Chubut,1882.0,8.0,1.0
Catamarca,1822.0,12.0,5.0
Jujuy,1797.0,20.0,2.0
Salta,1789.0,12.0,0.0
Chubut,1782.0,4.0,2.0
Chubut,1608.0,8.0,0.0
La Pampa,1461.0,10.0,0.0
Río Negro,1452.0,22.0,1.0
Santiago del Estero,1440.0,14.0,0.0
Chubut,1181.0,10.0,0.0
La Pampa,1103.0,8.0,6.0
Chubut,744.0,3.0,0.0
La Pampa,428.0,4.0,0.0
La Pampa,413.0,5.0,0.0
