Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
Ischilín,Córdoba,36023.0,81,125
9 de Julio,Chaco,30223.0,81,107
Santa Rosa,Mendoza,19379.0,81,80
Jiménez,Santiago del Estero,18622.0,81,27
Caucete,San Juan,44017.0,80,126
Laishi,Formosa,19275.0,80,40
Monte Caseros,Corrientes,45602.0,79,157
Ayacucho,Buenos Aires,21757.0,79,151
25 de Mayo,Chaco,32606.0,79,83
Ayacucho,San Luis,23653.0,79,74
Malargüe,Mendoza,32596.0,78,170
Cushamen,Chubut,28099.0,78,113
Ituzaingó,Corrientes,38767.0,77,148
Concepción,Corrientes,26270.0,76,57
Juan Felipe Ibarra,Santiago del Estero,20567.0,76,33
Belgrano,Santa Fe,48544.0,74,228
Las Flores,Buenos Aires,27136.0,74,148
Río Chico,Tucumán,64927.0,74,114
General Paz,Corrientes,17016.0,74,51
Capayán,Catamarca,19471.0,74,39
Ensenada,Buenos Aires,63978.0,73,215
Brandsen,Buenos Aires,32350.0,73,190
Lobería,Buenos Aires,18106.0,73,135
Paso de los Libres,Corrientes,56778.0,72,203
Magdalena,Buenos Aires,22653.0,72,136
Tulumba,Córdoba,14092.0,72,55
Bragado,Buenos Aires,46227.0,71,254
Carlos Casares,Buenos Aires,22905.0,71,177
Mar Chiquita,Buenos Aires,32973.0,71,154
Saladas,Corrientes,29126.0,71,81
Candelaria,Misiones,34945.0,71,73
San Javier,Misiones,23080.0,71,66
12 de Octubre,Chaco,23179.0,71,65
Sargento Cabral,Chaco,18696.0,71,34
Presidente Perón,Buenos Aires,101994.0,70,148
Sarmiento,San Juan,27188.0,70,92
Río Seco,Córdoba,15275.0,70,61
General Juan Madariaga,Buenos Aires,22566.0,69,152
Rosario Vera Peñaloza,La Rioja,15764.0,69,43
Islas del Ibicuy,Entre Ríos,13984.0,68,74
Humahuaca,Jujuy,20877.0,68,49
Ramallo,Buenos Aires,39648.0,67,227
San Antonio de Areco,Buenos Aires,26695.0,67,187
Navarro,Buenos Aires,19888.0,67,132
Independencia,Chaco,21948.0,67,125
Salto,Buenos Aires,39257.0,66,221
Zapala,Neuquén,45540.0,65,187
Trancas,Tucumán,23438.0,65,71
25 de Mayo,San Juan,20824.0,65,56
Ojo de Agua,Santiago del Estero,15008.0,65,46
Junín,San Luis,40289.0,64,183
Coronel Pringles,Buenos Aires,24110.0,64,182
Rojas,Buenos Aires,25619.0,64,178
San Luis del Palmar,Corrientes,21381.0,64,45
Salavina,Santiago del Estero,12775.0,64,19
General Donovan,Chaco,15061.0,64,13
Tupungato,Mendoza,41168.0,63,144
Totoral,Córdoba,22473.0,63,136
Adolfo Alsina,Buenos Aires,17344.0,63,129
Feliciano,Entre Ríos,16717.0,63,67
Matacos,Formosa,17017.0,63,34
Graneros,Tucumán,15539.0,63,22
Exaltación de la Cruz,Buenos Aires,40036.0,62,207
Arrecifes,Buenos Aires,32077.0,61,192
Yavi,Jujuy,25831.0,61,75
25 de Mayo,Río Negro,16555.0,60,74
Empedrado,Corrientes,17948.0,60,50
Quebrachos,Santiago del Estero,12336.0,60,44
Saavedra,Buenos Aires,21407.0,59,193
Andalgalá,Catamarca,19545.0,59,98
Santa Lucía,San Juan,62697.0,58,217
Metán,Salta,48028.0,58,163
Puán,Buenos Aires,16391.0,58,134
Rauch,Buenos Aires,16491.0,58,124
San Lorenzo,Chaco,16045.0,58,35
Libertador General San Martín,San Luis,4691.0,58,16
San Martín,Santiago del Estero,11183.0,58,11
Roque Pérez,Buenos Aires,13901.0,57,144
Coronel Dorrego,Buenos Aires,15795.0,57,126
Guaminí,Buenos Aires,11662.0,57,109
Valle Fértil,San Juan,8425.0,57,33
El Alto,Catamarca,4375.0,57,14
San Antonio,Río Negro,35473.0,56,193
Dolores,Buenos Aires,31405.0,56,153
Daireaux,Buenos Aires,18328.0,56,134
Carlos Tejedor,Buenos Aires,14007.0,56,85
General Alvear,Buenos Aires,10150.0,56,82
Rivadavia,Buenos Aires,19735.0,55,133
Carmen de Areco,Buenos Aires,17345.0,54,156
Rosario de Lerma,Salta,50961.0,54,109
San Cosme,Corrientes,19679.0,54,103
Chamical,La Rioja,15630.0,54,73
Tafí del Valle,Tucumán,22382.0,54,65
San Roque,Corrientes,22682.0,54,64
Santa Victoria,Salta,9411.0,54,4
Lácar,Neuquén,39567.0,53,259
Colón,Buenos Aires,27406.0,53,181
Palpalá,Jujuy,65522.0,53,153
General Güemes,Salta,55746.0,53,144
Tornquist,Buenos Aires,14591.0,53,142
Garay,Santa Fe,24853.0,53,132
General Paz,Buenos Aires,14141.0,53,98
San Martín,Corrientes,15164.0,53,53
Monte,Buenos Aires,24616.0,52,188
Famaillá,Tucumán,42669.0,52,105
Cochinoca,Jujuy,14998.0,52,61
Rosario de la Frontera,Salta,33750.0,50,132
General Viamonte,Buenos Aires,22530.0,50,122
General San Martín,La Rioja,5017.0,50,15
Benito Juárez,Buenos Aires,21185.0,49,150
Chacabuco,San Luis,26522.0,49,127
Tapalqué,Buenos Aires,10695.0,49,78
Leandro N. Alem,Buenos Aires,17153.0,48,145
Adolfo Gonzales Chaves,Buenos Aires,12847.0,48,113
Coronel Pringles,San Luis,16044.0,48,107
Pomán,Catamarca,12219.0,48,41
Calingasta,San Juan,10667.0,47,76
Santa Rosa,Catamarca,13317.0,47,50
Fray Justo Santa María de Oro,Chaco,10643.0,47,27
Belgrano,San Luis,5575.0,47,18
General Ortiz de Ocampo,La Rioja,7347.0,47,11
Realicó,La Pampa,17356.0,46,141
Villa Gesell,Buenos Aires,37325.0,45,216
General Belgrano,Buenos Aires,20674.0,45,154
San Salvador,Entre Ríos,20786.0,45,126
Minas,Córdoba,4855.0,45,42
General Belgrano,La Rioja,7615.0,45,28
Huiliches,Neuquén,20853.0,44,126
General Las Heras,Buenos Aires,17980.0,44,117
General Arenales,Buenos Aires,16231.0,44,115
General La Madrid,Buenos Aires,11535.0,44,87
Valle Viejo,Catamarca,33951.0,44,78
Ancasti,Catamarca,3282.0,44,3
Albardón,San Juan,31281.0,43,88
Libertad,Chaco,13775.0,43,74
Pocho,Córdoba,5070.0,43,15
Pinamar,Buenos Aires,39224.0,42,246
Utracán,La Pampa,17686.0,42,121
Juan Bautista Alberdi,Tucumán,34745.0,42,108
Sauce,Corrientes,10382.0,42,50
1° de Mayo,Chaco,14265.0,42,49
General Felipe Varela,La Rioja,11371.0,42,43
Guasayán,Santiago del Estero,9251.0,42,15
Atamisqui,Santiago del Estero,14894.0,42,6
General Juan Facundo Quiroga,La Rioja,4013.0,42,1
Suipacha,Buenos Aires,11736.0,41,92
Laprida,Buenos Aires,11496.0,41,87
Angaco,San Juan,10172.0,41,28
La Cocha,Tucumán,21196.0,40,57
Famatina,La Rioja,6984.0,40,16
Pehuenches,Neuquén,29721.0,39,148
General Pinto,Buenos Aires,12842.0,39,86
Rancul,La Pampa,11090.0,39,77
San Martín,San Juan,15037.0,39,34
San Miguel,Corrientes,12700.0,39,31
Alberti,Buenos Aires,12906.0,38,110
Iglesia,San Juan,8826.0,38,88
Arauco,La Rioja,16251.0,38,83
Presidencia de la Plaza,Chaco,13938.0,38,82
Minas,Neuquén,9267.0,38,23
Capitán Sarmiento,Buenos Aires,15882.0,37,127
Chos Malal,Neuquén,18289.0,37,107
Aluminé,Neuquén,10173.0,37,63
Concepción,Misiones,10303.0,37,33
Conhelo,La Pampa,15094.0,36,126
Cerrillos,Salta,55713.0,36,101
Maipú,Buenos Aires,11253.0,36,83
Pilcaniyeu,Río Negro,9309.0,36,68
Iruya,Salta,6116.0,36,2
Punta Indio,Buenos Aires,12161.0,35,73
Ambato,Catamarca,5087.0,35,20
Paclín,Catamarca,4696.0,35,18
Gaiman,Chubut,12505.0,34,110
Tilcara,Jujuy,14621.0,34,43
Silípica,Santiago del Estero,9766.0,34,24
2 de Abril,Chaco,8310.0,33,55
