Departamento,provincia,Jardines,Primarias,Secundarias,Superiores No Universitarios,Poblacion Jardines,Poblacion Primarias,Poblacion Secundarias,Poblacion Superiores No Universitarios
TAPALQUE,BUENOS AIRES,14.0,22.0,5.0,1.0,873.0,1125.0,889.0,7808.0
BRAGADO,BUENOS AIRES,18.0,22.0,16.0,1.0,3360.0,4807.0,3579.0,34481.0
BRANDSEN,BUENOS AIRES,20.0,22.0,17.0,1.0,2588.0,3997.0,2931.0,22834.0
EXALTACION DE LA CRUZ,BUENOS AIRES,19.0,21.0,14.0,1.0,3424.0,4920.0,3218.0,28474.0
ARRECIFES,BUENOS AIRES,18.0,20.0,10.0,1.0,2644.0,3542.0,2476.0,23415.0
TORNQUIST,BUENOS AIRES,15.0,20.0,11.0,1.0,997.0,1549.0,1025.0,11020.0
GENERAL ALVARADO,BUENOS AIRES,22.0,20.0,19.0,3.0,3570.0,4822.0,3492.0,33423.0
DAIREAUX,BUENOS AIRES,16.0,20.0,10.0,1.0,1395.0,1986.0,1545.0,13402.0
SALTO,BUENOS AIRES,21.0,20.0,14.0,1.0,3175.0,4405.0,3215.0,28462.0
CORONEL DORREGO,BUENOS AIRES,17.0,20.0,10.0,2.0,1131.0,1609.0,1230.0,11825.0
CARLOS TEJEDOR,BUENOS AIRES,16.0,19.0,9.0,2.0,1107.0,1557.0,1056.0,10287.0
GENERAL VIAMONTE,BUENOS AIRES,15.0,19.0,9.0,1.0,1801.0,2538.0,1677.0,16514.0
CARMEN DE ARECO,BUENOS AIRES,17.0,19.0,9.0,1.0,1443.0,1927.0,1436.0,12539.0
PRESIDENTE PERON,BUENOS AIRES,22.0,19.0,17.0,2.0,10170.0,14476.0,9857.0,67491.0
MONTE,BUENOS AIRES,16.0,18.0,10.0,1.0,1922.0,3031.0,2006.0,17657.0
ENSENADA,BUENOS AIRES,18.0,18.0,16.0,3.0,4917.0,7776.0,5509.0,45776.0
SAN ANTONIO DE ARECO,BUENOS AIRES,26.0,18.0,10.0,3.0,2120.0,2873.0,2122.0,19580.0
GUAMINI,BUENOS AIRES,15.0,18.0,8.0,1.0,822.0,1189.0,872.0,8779.0
PUAN,BUENOS AIRES,14.0,18.0,13.0,2.0,998.0,1459.0,1038.0,12896.0
SAAVEDRA,BUENOS AIRES,15.0,18.0,10.0,1.0,1436.0,2109.0,1530.0,16332.0
CASTELLI,BUENOS AIRES,7.0,17.0,3.0,1.0,760.0,1013.0,746.0,7032.0
GENERAL LAS HERAS,BUENOS AIRES,15.0,16.0,6.0,1.0,1466.0,2054.0,1530.0,12930.0
