Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
DESEADO,SANTA CRUZ,126266.0,107,228
JUAREZ CELMAN,CORDOBA,68317.0,107,192
COMUNA 15,CIUDAD DE BUENOS AIRES,195265.0,105,526
IRIONDO,SANTA FE,73636.0,105,242
SAN ALBERTO,CORDOBA,42029.0,105,103
COPO,SANTIAGO DEL ESTERO,35653.0,105,39
GENERAL RODRIGUEZ,BUENOS AIRES,142315.0,104,224
TRENQUE LAUQUEN,BUENOS AIRES,49128.0,104,202
FIGUEROA,SANTIAGO DEL ESTERO,20246.0,104,4
SARMIENTO,CHUBUT,14477.0,103,65
SARMIENTO,SAN JUAN,27188.0,103,41
LEALES,TUCUMAN,66352.0,103,36
SARMIENTO,SANTIAGO DEL ESTERO,5034.0,103,7
TAFI VIEJO,TUCUMAN,172877.0,101,148
GENERAL BELGRANO,BUENOS AIRES,20674.0,101,93
GENERAL BELGRANO,CHACO,12807.0,101,18
GENERAL BELGRANO,LA RIOJA,7615.0,101,18
TRES ARROYOS,BUENOS AIRES,61889.0,100,225
SAN CARLOS,MENDOZA,39752.0,99,75
ESQUINA,CORRIENTES,39168.0,99,54
SAN CARLOS,SALTA,7779.0,99,5
CAÑUELAS,BUENOS AIRES,70542.0,97,237
DIAMANTE,ENTRE RIOS,52312.0,97,135
CORONEL PRINGLES,BUENOS AIRES,24110.0,97,117
CORONEL PRINGLES,SAN LUIS,16044.0,97,63
COMUNA 5,CIUDAD DE BUENOS AIRES,192449.0,94,438
CONCEPCION,CORRIENTES,26270.0,94,27
CONCEPCION,MISIONES,10303.0,94,19
LINCOLN,BUENOS AIRES,45191.0,93,156
CASEROS,SANTA FE,86261.0,91,237
SANTA ROSA,MENDOZA,19379.0,91,34
SANTA ROSA,CATAMARCA,13317.0,91,21
CONSTITUCION,SANTA FE,93000.0,90,226
EL CARMEN,JUJUY,122259.0,90,122
COMUNA 6,CIUDAD DE BUENOS AIRES,201764.0,89,413
VICTORIA,ENTRE RIOS,40301.0,89,131
BALCARCE,BUENOS AIRES,48516.0,88,185
CORONEL SUAREZ,BUENOS AIRES,41713.0,88,173
CHOYA,SANTIAGO DEL ESTERO,43692.0,88,74
TINOGASTA,CATAMARCA,25254.0,88,46
SANTO TOME,CORRIENTES,71922.0,87,138
ANTA,SALTA,69442.0,87,96
BURRUYACU,TUCUMAN,45459.0,87,22
GUALEGUAY,ENTRE RIOS,56796.0,86,156
QUITILIPI,CHACO,32430.0,86,54
PEHUAJO,BUENOS AIRES,44594.0,85,160
BOLIVAR,BUENOS AIRES,37194.0,85,147
LORETO,SANTIAGO DEL ESTERO,24047.0,85,33
CURUZU CUATIA,CORRIENTES,51489.0,84,97
CHASCOMUS,BUENOS AIRES,42191.0,83,169
ALBERDI,SANTIAGO DEL ESTERO,20104.0,83,22
PILAGAS,FORMOSA,19089.0,82,11
RIO GRANDE,TIERRA DEL FUEGO,98922.0,81,258
LOBOS,BUENOS AIRES,41418.0,81,165
COMUNA 2,CIUDAD DE BUENOS AIRES,160609.0,80,499
SAN VICENTE,BUENOS AIRES,97929.0,80,151
GENERAL VILLEGAS,BUENOS AIRES,35055.0,80,145
ROBLES,SANTIAGO DEL ESTERO,53879.0,80,68
BIEDMA,CHUBUT,102806.0,79,299
BERISSO,BUENOS AIRES,100685.0,79,165
CHICLIGASTA,TUCUMAN,92308.0,79,138
FEDERAL,ENTRE RIOS,29436.0,79,72
SALADILLO,BUENOS AIRES,35423.0,78,135
BARADERO,BUENOS AIRES,39223.0,77,156
BELLA VISTA,CORRIENTES,44369.0,77,82
GENERAL TABOADA,SANTIAGO DEL ESTERO,46304.0,77,58
JACHAL,SAN JUAN,25269.0,76,55
FUTALEUFU,CHUBUT,49965.0,75,176
LEDESMA,JUJUY,94132.0,75,112
APOSTOLES,MISIONES,50503.0,75,111
SAN ANDRES DE GILES,BUENOS AIRES,26399.0,74,115
VILLARINO,BUENOS AIRES,32552.0,74,104
SIMOCA,TUCUMAN,36946.0,74,36
JIMENEZ,SANTIAGO DEL ESTERO,18622.0,74,9
LA COSTA,BUENOS AIRES,100400.0,73,195
ISCHILIN,CORDOBA,36023.0,72,74
MONTEROS,TUCUMAN,77469.0,70,103
PATAGONES,BUENOS AIRES,37499.0,70,100
PRESIDENTE ROQUE SAENZ PEÑA,CORDOBA,37551.0,69,155
MONTECARLO,MISIONES,38620.0,68,79
TALA,ENTRE RIOS,31091.0,68,69
CAPAYAN,CATAMARCA,19471.0,68,12
POCITO,SAN JUAN,72879.0,67,107
YERBA BUENA,TUCUMAN,102589.0,66,238
TUNUYAN,MENDOZA,59972.0,66,144
CHILECITO,LA RIOJA,58681.0,66,123
CHIMBAS,SAN JUAN,103772.0,66,122
MONTE CASEROS,CORRIENTES,45602.0,66,92
MINAS,CORDOBA,4855.0,66,20
MINAS,NEUQUEN,9267.0,66,15
MARACO,LA PAMPA,69067.0,65,256
USHUAIA,TIERRA DEL FUEGO,80009.0,65,249
LULES,TUCUMAN,93464.0,65,97
LAS FLORES,BUENOS AIRES,27136.0,65,85
MARCOS PAZ,BUENOS AIRES,64761.0,64,132
INDEPENDENCIA,CHACO,21948.0,64,67
INDEPENDENCIA,LA RIOJA,2399.0,64,2
CUSHAMEN,CHUBUT,28099.0,63,65
LAISHI,FORMOSA,19275.0,63,16
GENERAL ALVARADO,BUENOS AIRES,45307.0,62,153
PASO DE LOS LIBRES,CORRIENTES,56778.0,62,123
RIO CHICO,TUCUMAN,64927.0,62,70
CAUCETE,SAN JUAN,44017.0,62,69
RIO CHICO,SANTA CRUZ,6271.0,62,32
SALAVINA,SANTIAGO DEL ESTERO,12775.0,62,6
LOBERIA,BUENOS AIRES,18106.0,61,81
RIO SECO,CORDOBA,15275.0,61,36
TULUMBA,CORDOBA,14092.0,61,33
HUMAHUACA,JUJUY,20877.0,61,22
BRANDSEN,BUENOS AIRES,32350.0,60,129
PRESIDENTE PERON,BUENOS AIRES,101994.0,60,91
NAVARRO,BUENOS AIRES,19888.0,60,75
OJO DE AGUA,SANTIAGO DEL ESTERO,15008.0,60,23
MAGDALENA,BUENOS AIRES,22653.0,59,77
SALADAS,CORRIENTES,29126.0,58,46
SAN LUIS DEL PALMAR,CORRIENTES,21381.0,58,24
QUEBRACHOS,SANTIAGO DEL ESTERO,12336.0,58,21
BRAGADO,BUENOS AIRES,46227.0,57,179
SAN ANTONIO DE ARECO,BUENOS AIRES,26695.0,57,124
CARLOS CASARES,BUENOS AIRES,22905.0,57,104
MAR CHIQUITA,BUENOS AIRES,32973.0,57,102
GENERAL JUAN MADARIAGA,BUENOS AIRES,22566.0,57,96
SALTO,BUENOS AIRES,39257.0,56,141
TOTORAL,CORDOBA,22473.0,56,88
ANDALGALA,CATAMARCA,19545.0,56,65
CANDELARIA,MISIONES,34945.0,56,38
EL ALTO,CATAMARCA,4375.0,56,4
12 DE OCTUBRE,CHACO,23179.0,55,29
ROSARIO VERA PEÑALOZA,LA RIOJA,15764.0,55,21
ENSENADA,BUENOS AIRES,63978.0,54,166
EXALTACION DE LA CRUZ,BUENOS AIRES,40036.0,54,134
YAVI,JUJUY,25831.0,54,48
EMPEDRADO,CORRIENTES,17948.0,54,27
SANTA VICTORIA,SALTA,9411.0,54,
ROJAS,BUENOS AIRES,25619.0,53,121
MATACOS,FORMOSA,17017.0,53,18
RAUCH,BUENOS AIRES,16491.0,50,75
RAMALLO,BUENOS AIRES,39648.0,49,151
ARRECIFES,BUENOS AIRES,32077.0,49,129
METAN,SALTA,48028.0,49,100
ROQUE PEREZ,BUENOS AIRES,13901.0,49,92
COCHINOCA,JUJUY,14998.0,49,35
ZAPALA,NEUQUEN,45540.0,48,130
GRANEROS,TUCUMAN,15539.0,48,11
DAIREAUX,BUENOS AIRES,18328.0,47,84
CORONEL DORREGO,BUENOS AIRES,15795.0,47,79
ROSARIO DE LERMA,SALTA,50961.0,47,67
SAN COSME,CORRIENTES,19679.0,47,53
SAN ROQUE,CORRIENTES,22682.0,47,42
SARGENTO CABRAL,CHACO,18696.0,47,14
DOLORES,BUENOS AIRES,31405.0,46,108
CARMEN DE ARECO,BUENOS AIRES,17345.0,46,104
TORNQUIST,BUENOS AIRES,14591.0,46,94
ROSARIO DE LA FRONTERA,SALTA,33750.0,46,82
SAN ANTONIO,RIO NEGRO,35473.0,45,138
MONTE,BUENOS AIRES,24616.0,45,121
PALPALA,JUJUY,65522.0,45,105
