Cue,NivelEducativo
20053602,Jardin
20053900,SNU
20054000,Primario
20054100,Jardin
20054100,Primario
20054100,Secundario
20054200,Jardin
20054300,Secundario
20054400,Primario
20054500,Jardin
20054500,Primario
20054600,Primario
20055400,Jardin
20055401,Jardin
20055402,Jardin
20055403,Jardin
20055404,Jardin
20055500,Secundario
20055600,Primario
20055700,Primario
20055800,Primario
20055900,Jardin
20056000,Jardin
20056000,Primario
20056000,Secundario
20056100,Jardin
20056100,Primario
20056100,Secundario
20056200,Jardin
20056200,Primario
20056200,Secundario
20056300,Secundario
20056400,SNU
20056500,Jardin
20056500,Primario
20056500,Secundario
20056600,Primario
20056700,Primario
20056800,Secundario
20057000,Primario
20057100,Jardin
20057100,Primario
20057100,Secundario
20057200,Jardin
20057200,Primario
20057200,Secundario
20057500,Jardin
20057500,Primario
20057800,Primario
20057900,Jardin
20057900,Primario
20057900,Secundario
20058000,Jardin
20058001,Jardin
20058100,Primario
20058200,Primario
20058300,Secundario
20058400,Primario
20058400,SNU
20058400,Secundario
20058401,SNU
20058500,Jardin
20058500,Primario
20058800,Jardin
20058800,Primario
20058800,Secundario
20058900,Primario
20059200,Primario
20059300,Primario
20059400,Jardin
20059400,Primario
20059400,Secundario
20059500,Jardin
20059600,Primario
20059800,Primario
20059900,Primario
20060000,Jardin
20060000,Primario
20060000,Secundario
20060100,Primario
20060200,Secundario
20060300,SNU
20060500,Jardin
20060500,Primario
20060500,Secundario
20060600,Jardin
20060700,Primario
20061100,Secundario
20061200,Secundario
20061300,Jardin
20061300,Primario
20061300,Secundario
20061400,Jardin
20061400,Primario
20061500,Primario
20061600,Jardin
20061600,Primario
20061600,Secundario
20061700,Jardin
20061701,Jardin
20061703,Jardin
20061704,Jardin
20061800,Primario
20061900,Primario
20062000,Jardin
20062000,Primario
20062000,Secundario
20062100,Jardin
20062200,Secundario
20062300,Secundario
20062400,Jardin
20062400,Primario
20062400,Secundario
20062800,Secundario
20062900,Primario
20063000,Jardin
20063100,Primario
20063200,Jardin
20063200,Primario
20063300,Jardin
20063300,Primario
20063300,Secundario
20063500,Primario
20063700,Secundario
20063800,Primario
20063900,Jardin
20064100,Jardin
20064100,Primario
20064100,SNU
20064100,Secundario
20064200,Jardin
20064200,Primario
20064300,Secundario
20064400,Primario
20064500,Primario
20064600,Primario
20064700,Jardin
20064800,Primario
20064900,Secundario
20065000,Primario
20065000,Secundario
20065200,Secundario
20065300,Jardin
20065300,Primario
20065300,Secundario
20065400,Primario
20065500,Jardin
20065500,Primario
20065500,Secundario
20065600,Primario
20065800,Jardin
20065800,Primario
20065800,Secundario
20065900,Primario
20066000,Primario
20066100,Primario
20066200,Primario
20066300,Jardin
20066300,Primario
20066300,SNU
20066300,Secundario
20066400,Jardin
20066400,Primario
20066400,Secundario
20066600,Jardin
20066700,Primario
20066800,Jardin
20066800,Primario
20066800,Secundario
20066900,Primario
20067000,Jardin
20067000,Primario
20067200,Jardin
20067200,Primario
20067200,Secundario
20067300,Jardin
20067300,Primario
20067300,Secundario
20067400,Jardin
20067400,Primario
20067400,Secundario
20067500,Jardin
20067500,Primario
20067500,Secundario
20067600,Jardin
20067600,Primario
20067600,Secundario
20067700,Jardin
20067700,Primario
20067700,Secundario
20067800,Primario
20068000,Secundario
20068100,Primario
20068300,Jardin
20068300,Primario
20068300,Secundario
20068400,Jardin
20068400,Primario
20068400,Secundario
20068500,Jardin
20068500,Primario
20068500,Secundario
20068600,Jardin
20068600,Primario
20068600,Secundario
20068700,Primario
20068900,Primario
20069000,Jardin
20069000,Primario
20069000,SNU
20069000,Secundario
20069100,Jardin
20069100,Primario
20069100,Secundario
20069200,SNU
20069400,Primario
20069500,Jardin
20069502,Jardin
20069504,Jardin
20069600,Jardin
20069600,Primario
20069600,SNU
20069600,Secundario
20069900,Jardin
20069900,Primario
20069900,Secundario
20070000,Jardin
20070000,Primario
20070000,Secundario
20070100,Primario
20070200,Jardin
20070300,Jardin
20070400,SNU
20070500,Primario
20070600,Jardin
20070601,Jardin
20070602,Jardin
20070603,Jardin
20070700,Primario
20070800,Jardin
20070800,Primario
20070800,SNU
20070800,Secundario
20070900,Jardin
20071000,Primario
20071100,Primario
20071300,Jardin
20071302,Jardin
20071303,Jardin
20071400,Primario
20071500,SNU
20071600,Jardin
20071600,Primario
20071600,Secundario
20071700,Jardin
20071700,Primario
20071700,SNU
20071700,Secundario
20071800,Jardin
20071800,Primario
20071800,Secundario
20072000,SNU
20072100,Jardin
20072100,Primario
20072100,Secundario
20072300,Jardin
20072300,Primario
20072300,Secundario
20072400,Secundario
20072600,Primario
20072700,Primario
20072800,Jardin
20072800,Primario
20072800,Secundario
20072900,Jardin
20072900,Primario
20072900,Secundario
20073000,Primario
20073100,Primario
20073200,Secundario
20073300,Jardin
20073300,Primario
20073300,Secundario
20073500,Primario
20073600,Jardin
20073600,Primario
20073700,Jardin
20073701,Jardin
20073702,Jardin
20073703,Jardin
20073800,Jardin
20073800,Primario
20073800,SNU
20073800,Secundario
20073900,Jardin
20073900,Primario
20073900,Secundario
20074000,Jardin
20074000,Primario
20074000,Secundario
20074100,Jardin
20074100,Primario
20074200,SNU
20074300,Primario
20074400,Secundario
20074500,Primario
20074600,Secundario
20074700,Jardin
20074700,Primario
20074700,Secundario
20074800,Jardin
20074800,Primario
20074800,Secundario
20074900,Jardin
20074900,Primario
20074900,Secundario
20075100,Primario
20075300,Jardin
20075300,Primario
20075300,SNU
20075300,Secundario
20075500,Secundario
20075600,Secundario
20075700,Jardin
20075800,Primario
20076000,Primario
20076100,Primario
20076200,Primario
20076300,Primario
20076500,Primario
20076600,Jardin
20076600,Primario
20076700,Jardin
20076700,Primario
20076700,Secundario
20076800,Jardin
20076800,Primario
20076800,SNU
20076800,Secundario
20076900,Jardin
20076900,Primario
20077000,Secundario
20077200,Primario
20077400,Primario
20077500,Primario
20077600,Jardin
20077600,Primario
20077600,Secundario
20077800,Primario
20077900,Secundario
20078000,Primario
20078100,Jardin
