Departamento,provincia,Poblacion,Cantidad de EE,EmpresasExportadoras_EmpleanMujeres
San Martín,Santiago del Estero,11183.0,58,1.0
San Lorenzo,Chaco,16045.0,58,0.0
Libertador General San Martín,San Luis,4691.0,58,0.0
Roque Pérez,Buenos Aires,13901.0,57,11.0
Guaminí,Buenos Aires,11662.0,57,9.0
El Alto,Catamarca,4375.0,57,2.0
Valle Fértil,San Juan,8425.0,57,2.0
Coronel Dorrego,Buenos Aires,15795.0,57,0.0
San Antonio,Río Negro,35473.0,56,26.0
Daireaux,Buenos Aires,18328.0,56,11.0
Dolores,Buenos Aires,31405.0,56,5.0
General Alvear,Buenos Aires,10150.0,56,4.0
Carlos Tejedor,Buenos Aires,14007.0,56,1.0
Rivadavia,Buenos Aires,19735.0,55,17.0
Rosario de Lerma,Salta,50961.0,54,17.0
Carmen de Areco,Buenos Aires,17345.0,54,16.0
San Cosme,Corrientes,19679.0,54,4.0
San Roque,Corrientes,22682.0,54,2.0
Chamical,La Rioja,15630.0,54,2.0
Santa Victoria,Salta,9411.0,54,0.0
Tafí del Valle,Tucumán,22382.0,54,0.0
Colón,Buenos Aires,27406.0,53,37.0
Lácar,Neuquén,39567.0,53,33.0
Palpalá,Jujuy,65522.0,53,17.0
General Güemes,Salta,55746.0,53,11.0
San Martín,Corrientes,15164.0,53,7.0
Garay,Santa Fe,24853.0,53,7.0
Tornquist,Buenos Aires,14591.0,53,6.0
General Paz,Buenos Aires,14141.0,53,2.0
Famaillá,Tucumán,42669.0,52,26.0
Monte,Buenos Aires,24616.0,52,20.0
Cochinoca,Jujuy,14998.0,52,2.0
Rosario de la Frontera,Salta,33750.0,50,31.0
General Viamonte,Buenos Aires,22530.0,50,5.0
General San Martín,La Rioja,5017.0,50,0.0
Chacabuco,San Luis,26522.0,49,36.0
Benito Juárez,Buenos Aires,21185.0,49,14.0
Tapalqué,Buenos Aires,10695.0,49,3.0
Leandro N. Alem,Buenos Aires,17153.0,48,18.0
Coronel Pringles,San Luis,16044.0,48,12.0
Pomán,Catamarca,12219.0,48,7.0
Adolfo Gonzales Chaves,Buenos Aires,12847.0,48,2.0
Calingasta,San Juan,10667.0,47,11.0
Santa Rosa,Catamarca,13317.0,47,8.0
Belgrano,San Luis,5575.0,47,2.0
Fray Justo Santa María de Oro,Chaco,10643.0,47,1.0
General Ortiz de Ocampo,La Rioja,7347.0,47,0.0
Realicó,La Pampa,17356.0,46,11.0
San Salvador,Entre Ríos,20786.0,45,34.0
General Belgrano,Buenos Aires,20674.0,45,9.0
Villa Gesell,Buenos Aires,37325.0,45,9.0
Minas,Córdoba,4855.0,45,2.0
General Belgrano,La Rioja,7615.0,45,0.0
General Las Heras,Buenos Aires,17980.0,44,29.0
General Arenales,Buenos Aires,16231.0,44,13.0
Valle Viejo,Catamarca,33951.0,44,9.0
Huiliches,Neuquén,20853.0,44,6.0
General La Madrid,Buenos Aires,11535.0,44,0.0
Ancasti,Catamarca,3282.0,44,0.0
Albardón,San Juan,31281.0,43,14.0
Libertad,Chaco,13775.0,43,10.0
Pocho,Córdoba,5070.0,43,0.0
Pinamar,Buenos Aires,39224.0,42,25.0
Juan Bautista Alberdi,Tucumán,34745.0,42,7.0
Utracán,La Pampa,17686.0,42,4.0
Sauce,Corrientes,10382.0,42,3.0
General Felipe Varela,La Rioja,11371.0,42,2.0
1° de Mayo,Chaco,14265.0,42,0.0
General Juan Facundo Quiroga,La Rioja,4013.0,42,0.0
